
T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
2rl6cdh85enqv	,03	,00010000	,261252579689	,0000	,0	,01	,1	,143472	,1001011334	,0	,24966367	,00010000	,4	,030000000	,0	,127.00	,01	,011334	,00010000	,0	,000100001434721001011334000010000	,20221001	,00010000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,020	,0501	,01	,01	,zdh1tcf2wx5gb	,1	,1	
c0ejpxizg1fbv	,03	,00030003	,281803201668	,0000	,0	,01	,1	,954177	,1001011719	,0	,37519381	,00030003	,4	,030000000	,0	,24.00	,01	,011719	,00030003	,0	,000300039541771001011719000030003	,20221001	,00030003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,011	,5049	,01	,01	,dpabhzynej2ov	,1	,1	
3yfebtuh78kc9	,01	,00030000	,642403182723	,0000	,0	,01	,1	,390123	,1001012140	,0	,82208581	,00030000	,4	,010000000	,0	,40.36	,01	,012140	,00030000	,0	,000300003901231001012140000030000	,20221001	,00030000	,716539165168778	,01	,00	,01	,00000000	,7829	,84715794	,"qtyMovies,TV_shows,Music(Low)	",141	,3773	,01	,01	,6yo2tnfi7vsu9	,1	,1	
xcanuib5g8jlv	,03	,00020002	,248031149324	,0000	,0	,01	,1	,969586	,1001014112	,0	,84869143	,00020002	,4	,030000000	,0	,457.00	,01	,014112	,00020002	,0	,000200029695861001014112000020002	,20221001	,00020002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,040	,2849	,01	,01	,067dqk9aromji	,1	,1	
2rl6cdh85enqv	,03	,00010000	,964853235822	,0000	,0	,01	,1	,761900	,1001015519	,0	,25385734	,00010000	,4	,030000000	,0	,425.00	,01	,015519	,00010000	,0	,000100007619001001015519000010000	,20221001	,00010000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,130	,9265	,01	,01	,kt5ye2zr0w6ic	,1	,1	
2rl6cdh85enqv	,03	,00010000	,143400184970	,0000	,0	,01	,1	,952609	,1001015850	,0	,42979376	,00010000	,4	,030000000	,0	,569.00	,01	,015850	,00010000	,0	,000100009526091001015850000010000	,20221001	,00010000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,100	,1734	,01	,01	,t052x86jm7bqz	,1	,1	
ormwfd17hx9se	,03	,00020001	,217828391093	,0000	,0	,01	,1	,147216	,1001020553	,0	,60767242	,00020001	,4	,030000000	,0	,245.00	,01	,020553	,00020001	,0	,000200011472161001020553000020001	,20221001	,00020001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,142	,3187	,01	,01	,0tbsklj7pweqm	,1	,1	
awiqj5rbg09zy	,03	,00020001	,859706939924	,0000	,0	,01	,1	,916888	,1001020609	,0	,41920692	,00020001	,4	,030000000	,0	,341.00	,01	,020609	,00020001	,0	,000200019168881001020609000020001	,20221001	,00020001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,002	,3830	,01	,01	,gjpnrz5o1qe3f	,1	,1	
yqlg8ewudhijf	,03	,00030000	,349001859389	,0000	,0	,01	,1	,181204	,1001020734	,0	,70769724	,00030000	,4	,030000000	,0	,410.00	,01	,020734	,00030000	,0	,000300001812041001020734000030000	,20221001	,00030000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,052	,9939	,01	,01	,2i1qp4y59joa6	,1	,1	
2i1qp4y59joa6	,03	,00030003	,990589741773	,0000	,0	,01	,1	,733724	,1001022902	,0	,74241205	,00030003	,4	,030000000	,0	,208.00	,01	,022902	,00030003	,0	,000300037337241001022902000030003	,20221001	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,112	,9295	,01	,01	,71cz0hu3b45ax	,1	,1	
2i1qp4y59joa6	,03	,00030003	,691491326026	,0000	,0	,01	,1	,797051	,1001023329	,0	,61696116	,00030003	,4	,030000000	,0	,514.00	,01	,023329	,00030003	,0	,000300037970511001023329000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,052	,4836	,01	,01	,71cz0hu3b45ax	,1	,1	
z4nc7ey9rqlpd	,03	,00010002	,215926708656	,0000	,0	,01	,1	,418249	,1001023348	,0	,94658262	,00010002	,4	,030000000	,0	,5.00	,01	,023348	,00010002	,0	,000100024182491001023348000010002	,20221001	,00010002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,111	,6930	,01	,03	,u3etkgyps91a2	,1	,1	
97cs5xutvr2pg	,03	,00010002	,806457788891	,0000	,0	,01	,1	,972627	,1001024240	,0	,69059597	,00010002	,4	,030000000	,0	,377.00	,01	,024240	,00010002	,0	,000100029726271001024240000010002	,20221001	,00010002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,000	,9288	,01	,01	,i34pv8hmdw1jc	,1	,1	
c0ejpxizg1fbv	,03	,00030003	,588896568500	,0000	,0	,01	,1	,582356	,1001025435	,0	,94459953	,00030003	,4	,030000000	,0	,34.00	,01	,025435	,00030003	,0	,000300035823561001025435000030003	,20221001	,00030003	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,060	,3448	,01	,01	,e3ksdcyp5xigh	,1	,1	
37oxaizp6ew5y	,03	,00030000	,285743258752	,0000	,0	,01	,1	,582351	,1001025939	,0	,76333456	,00030000	,4	,030000000	,0	,427.00	,01	,025939	,00030000	,0	,000300005823511001025939000030000	,20221001	,00030000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,012	,1475	,01	,01	,41ei0mjg3ps5b	,1	,1	
97cs5xutvr2pg	,03	,00010002	,501037386817	,0000	,0	,01	,1	,928403	,1001030330	,0	,12602536	,00010002	,4	,030000000	,0	,167.00	,01	,030330	,00010002	,0	,000100029284031001030330000010002	,20221001	,00010002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,051	,0074	,01	,01	,4xpg7yvlhe6a2	,1	,1	
42cp6o05fwhuq	,03	,00010000	,528731701696	,0000	,0	,01	,1	,532389	,1001031554	,0	,34130521	,00010000	,4	,030000000	,0	,431.00	,01	,031554	,00010000	,0	,000100005323891001031554000010000	,20221001	,00010000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,061	,6175	,01	,06	,rhk38etajnf2x	,1	,1	
z4nc7ey9rqlpd	,03	,00010002	,221395413397	,0000	,0	,01	,1	,206635	,1001032012	,0	,91100311	,00010002	,4	,030000000	,0	,128.00	,01	,032012	,00010002	,0	,000100022066351001032012000010002	,20221001	,00010002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,111	,6887	,01	,03	,rhk38etajnf2x	,1	,1	
60q37jer4tcdw	,03	,00030000	,875836891967	,0000	,0	,01	,1	,112635	,1001032118	,0	,54262333	,00030000	,4	,030000000	,0	,127.00	,01	,032118	,00030000	,0	,000300001126351001032118000030000	,20221001	,00030000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,130	,0923	,01	,01	,3l2ohdmxw7u4z	,1	,1	
fo4gb3xsl1dc2	,03	,00020001	,873839853350	,0000	,0	,01	,1	,004461	,1001032326	,0	,97634055	,00020001	,4	,030000000	,0	,345.00	,01	,032326	,00020001	,0	,000200010044611001032326000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,151	,9084	,01	,05	,gjpnrz5o1qe3f	,1	,1	
3ni9mdkbrt6wy	,03	,00010002	,329623640322	,0000	,0	,01	,1	,722931	,1001033845	,0	,41736592	,00010002	,4	,030000000	,0	,284.00	,01	,033845	,00010002	,0	,000100027229311001033845000010002	,20221001	,00010002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,142	,0732	,01	,01	,rhk38etajnf2x	,1	,1	
42cp6o05fwhuq	,03	,00010000	,459841268601	,0000	,0	,01	,1	,551577	,1001034856	,0	,34974505	,00010000	,4	,030000000	,0	,24.00	,01	,034856	,00010000	,0	,000100005515771001034856000010000	,20221001	,00010000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,072	,1415	,01	,06	,pbdtcq5gf0arw	,1	,1	
0tbsklj7pweqm	,03	,00010002	,076543898404	,0000	,0	,01	,1	,248944	,1001040119	,0	,11666345	,00010002	,4	,030000000	,0	,170.00	,01	,040119	,00010002	,0	,000100022489441001040119000010002	,20221001	,00010002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,012	,3606	,01	,01	,9f876xmzdi5u0	,1	,1	
ij3zpfa7nrv9c	,03	,00030001	,080779854188	,0000	,0	,01	,1	,114049	,1001040416	,0	,72229602	,00030001	,4	,030000000	,0	,93.00	,01	,040416	,00030001	,0	,000300011140491001040416000030001	,20221001	,00030001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,031	,8155	,01	,01	,2rl6cdh85enqv	,1	,1	
w24dy1csneb6p	,03	,00020001	,354901020696	,0000	,0	,01	,1	,055694	,1001040905	,0	,13607185	,00020001	,4	,030000000	,0	,569.00	,01	,040905	,00020001	,0	,000200010556941001040905000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,032	,5552	,01	,01	,c0ejpxizg1fbv	,1	,1	
3ni9mdkbrt6wy	,03	,00010002	,205386812633	,0000	,0	,01	,1	,378865	,1001041328	,0	,34195635	,00010002	,4	,030000000	,0	,429.00	,01	,041328	,00010002	,0	,000100023788651001041328000010002	,20221001	,00010002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,042	,8031	,01	,01	,ij3zpfa7nrv9c	,1	,1	
2i1qp4y59joa6	,03	,00030003	,187812881448	,0000	,0	,01	,1	,998073	,1001041412	,0	,76661187	,00030003	,4	,030000000	,0	,430.00	,01	,041412	,00030003	,0	,000300039980731001041412000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,070	,8490	,01	,01	,k1z4rwub92dpc	,1	,1	
42cp6o05fwhuq	,03	,00010000	,593507414383	,0000	,0	,01	,1	,241094	,1001041446	,0	,60971034	,00010000	,4	,030000000	,0	,469.00	,01	,041446	,00010000	,0	,000100002410941001041446000010000	,20221001	,00010000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,030	,4491	,01	,06	,wyh0g5vjzasfq	,1	,1	
z4nc7ey9rqlpd	,03	,00010002	,740196961929	,0000	,0	,01	,1	,831934	,1001041811	,0	,20389475	,00010002	,4	,030000000	,0	,4.00	,01	,041811	,00010002	,0	,000100028319341001041811000010002	,20221001	,00010002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,120	,3522	,01	,03	,37oxaizp6ew5y	,1	,1	
2i1qp4y59joa6	,03	,00030003	,011069938176	,0000	,0	,01	,1	,665957	,1001043052	,0	,65058929	,00030003	,4	,030000000	,0	,15.00	,01	,043052	,00030003	,0	,000300036659571001043052000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,011	,9612	,01	,01	,yqlg8ewudhijf	,1	,1	
pdav5wmoeb37l	,03	,00030001	,483272371755	,0000	,0	,01	,1	,916139	,1001044246	,0	,73869029	,00030001	,4	,030000000	,0	,557.00	,01	,044246	,00030001	,0	,000300019161391001044246000030001	,20221001	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,132	,1851	,01	,01	,3ni9mdkbrt6wy	,1	,1	
awiqj5rbg09zy	,03	,00020001	,679344349531	,0000	,0	,01	,1	,446896	,1001045432	,0	,31436354	,00020001	,4	,030000000	,0	,94.00	,01	,045432	,00020001	,0	,000200014468961001045432000020001	,20221001	,00020001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,012	,2058	,01	,01	,s7mv1804hkf3a	,1	,1	
ctlxv92fkbeua	,03	,00030002	,311057150408	,0000	,0	,01	,1	,556259	,1001050047	,0	,46512280	,00030002	,4	,030000000	,0	,120.00	,01	,050047	,00030002	,0	,000300025562591001050047000030002	,20221001	,00030002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,041	,4666	,01	,01	,97cs5xutvr2pg	,1	,1	
lxk5whpf07tqn	,03	,00030003	,310209681172	,0000	,0	,01	,1	,986882	,1001052019	,0	,26363379	,00030003	,4	,030000000	,0	,168.00	,01	,052019	,00030003	,0	,000300039868821001052019000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,021	,0716	,01	,00	,8erdwgy9bi7nl	,1	,1	
5edv0u7hr8fzj	,03	,00020000	,172208332252	,0000	,0	,01	,1	,619226	,1001053401	,0	,06608311	,00020000	,4	,030000000	,0	,136.00	,01	,053401	,00020000	,0	,000200006192261001053401000020000	,20221001	,00020000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,010	,6729	,01	,01	,gilnjcdqmkupe	,1	,1	
2rl6cdh85enqv	,03	,00010000	,524322194117	,0000	,0	,01	,1	,151197	,1001053448	,0	,24593889	,00010000	,4	,030000000	,0	,443.00	,01	,053448	,00010000	,0	,000100001511971001053448000010000	,20221001	,00010000	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,142	,2620	,01	,01	,zdh1tcf2wx5gb	,1	,1	
fqrh73v0j1yoa	,03	,00030003	,658908958991	,0000	,0	,01	,1	,790558	,1001053941	,0	,03510478	,00030003	,4	,030000000	,0	,24.00	,01	,053941	,00030003	,0	,000300037905581001053941000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,020	,0292	,01	,00	,e3ksdcyp5xigh	,1	,1	
dgtr7kw9pfzle	,03	,00010002	,226001349949	,0000	,0	,01	,1	,635659	,1001054231	,0	,32380489	,00010002	,4	,030000000	,0	,493.00	,01	,054231	,00010002	,0	,000100026356591001054231000010002	,20221001	,00010002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,002	,1140	,01	,01	,9f876xmzdi5u0	,1	,1	
xcanuib5g8jlv	,03	,00020002	,351273439070	,0000	,0	,01	,1	,527382	,1001054238	,0	,77312322	,00020002	,4	,030000000	,0	,410.00	,01	,054238	,00020002	,0	,000200025273821001054238000020002	,20221001	,00020002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,152	,3368	,01	,01	,fqrh73v0j1yoa	,1	,1	
u4lfsdwqp610j	,03	,00020001	,840055983468	,0000	,0	,01	,1	,829033	,1001054302	,0	,14424417	,00020001	,4	,030000000	,0	,69.00	,01	,054302	,00020001	,0	,000200018290331001054302000020001	,20221001	,00020001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,041	,1838	,01	,01	,bcwxqja51f0vs	,1	,1	
ctlxv92fkbeua	,03	,00030002	,953756338840	,0000	,0	,01	,1	,533331	,1001054750	,0	,34773554	,00030002	,4	,030000000	,0	,570.00	,01	,054750	,00030002	,0	,000300025333311001054750000030002	,20221001	,00030002	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,102	,5400	,01	,01	,97cs5xutvr2pg	,1	,1	
ceb62zqjix1gy	,03	,00030003	,311518944933	,0000	,0	,01	,1	,819987	,1001055354	,0	,83138473	,00030003	,4	,030000000	,0	,425.00	,01	,055354	,00030003	,0	,000300038199871001055354000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,131	,7850	,01	,00	,af3c6ohtsu2p9	,1	,1	
rhk38etajnf2x	,01	,00030003	,655186662725	,0000	,0	,01	,1	,087810	,1001060144	,0	,50194008	,00030003	,4	,010000000	,0	,772.65	,01	,060144	,00030003	,0	,000300030878101001060144000030003	,20221001	,00030003	,181372990306867	,02	,00	,01	,00000000	,7011	,57248455	,zusFour_star(Low)	,152	,2786	,01	,01	,ztyvkqjleus89	,1	,1	
af3c6ohtsu2p9	,03	,00010001	,911450891690	,0000	,0	,01	,1	,236479	,1001061231	,0	,64632328	,00010001	,4	,030000000	,0	,14.00	,01	,061231	,00010001	,0	,000100012364791001061231000010001	,20221001	,00010001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,010	,3807	,01	,01	,bel1vycirowpn	,1	,1	
wyh0g5vjzasfq	,03	,00030001	,515390000566	,0000	,0	,01	,1	,103934	,1001061450	,0	,23705044	,00030001	,4	,030000000	,0	,3.00	,01	,061450	,00030001	,0	,000300011039341001061450000030001	,20221001	,00030001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,042	,1893	,01	,01	,3ni9mdkbrt6wy	,1	,1	
0tbsklj7pweqm	,01	,00010002	,868193277700	,0000	,0	,01	,1	,371877	,1001061553	,0	,13980436	,00010002	,4	,010000000	,0	,4.77	,01	,061553	,00010002	,0	,000100023718771001061553000010002	,20221001	,00010002	,166512749679739	,01	,00	,01	,00000000	,5814	,07713955	,"quySnack_bars,Vendors(Low)	",110	,9264	,01	,01	,ced01k7uagwf4	,1	,1	
2rl6cdh85enqv	,03	,00010000	,181610630226	,0000	,0	,01	,1	,734976	,1001062233	,0	,42235750	,00010000	,4	,030000000	,0	,239.00	,01	,062233	,00010000	,0	,000100007349761001062233000010000	,20221001	,00010000	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,040	,1663	,01	,01	,jaulyrf21denw	,1	,1	
3ni9mdkbrt6wy	,03	,00010002	,305526774512	,0000	,0	,01	,1	,343817	,1001062332	,0	,77130004	,00010002	,4	,030000000	,0	,336.00	,01	,062332	,00010002	,0	,000100023438171001062332000010002	,20221001	,00010002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,111	,0177	,01	,01	,zdh1tcf2wx5gb	,1	,1	
af3c6ohtsu2p9	,03	,00010001	,922858635827	,0000	,0	,01	,1	,350938	,1001063000	,0	,23482382	,00010001	,4	,030000000	,0	,576.00	,01	,063000	,00010001	,0	,000100013509381001063000000010001	,20221001	,00010001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,140	,3451	,01	,01	,ceb62zqjix1gy	,1	,1	
wyh0g5vjzasfq	,03	,00030001	,718252362946	,0000	,0	,01	,1	,567564	,1001070603	,0	,20197628	,00030001	,4	,030000000	,0	,509.00	,01	,070603	,00030001	,0	,000300015675641001070603000030001	,20221001	,00030001	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,122	,9415	,01	,01	,3ni9mdkbrt6wy	,1	,1	
3ni9mdkbrt6wy	,03	,00010002	,336966456330	,0000	,0	,01	,1	,067597	,1001070959	,0	,64170810	,00010002	,4	,030000000	,0	,342.00	,01	,070959	,00010002	,0	,000100020675971001070959000010002	,20221001	,00010002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,101	,3219	,01	,01	,ij3zpfa7nrv9c	,1	,1	
3ni9mdkbrt6wy	,03	,00010002	,922817388882	,0000	,0	,01	,1	,922951	,1001072055	,0	,17801668	,00010002	,4	,030000000	,0	,422.00	,01	,072055	,00010002	,0	,000100029229511001072055000010002	,20221001	,00010002	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,140	,2659	,01	,01	,pbdtcq5gf0arw	,1	,1	
qh2omfugl9niz	,03	,00020002	,810316668997	,0000	,0	,01	,1	,068425	,1001072110	,0	,32399808	,00020002	,4	,030000000	,0	,457.00	,01	,072110	,00020002	,0	,000200020684251001072110000020002	,20221001	,00020002	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,100	,4252	,01	,01	,pw5s68hoxmukq	,1	,1	
u4lfsdwqp610j	,03	,00020001	,189401301053	,0000	,0	,01	,1	,624164	,1001072118	,0	,39198999	,00020001	,4	,030000000	,0	,559.00	,01	,072118	,00020001	,0	,000200016241641001072118000020001	,20221001	,00020001	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,141	,0432	,01	,01	,bcwxqja51f0vs	,1	,1	
7uprbdmqst839	,01	,00020001	,985857644287	,0000	,0	,01	,1	,339027	,1001072430	,0	,88790901	,00020001	,4	,010000000	,0	,1.75	,01	,072430	,00020001	,0	,000200013390271001072430000020001	,20221001	,00020001	,928424325516094	,01	,00	,01	,00000000	,5814	,29140638	,"afwSnack_bars,Vendors(Low)	",112	,4131	,01	,04	,87q3y0vp2fobr	,1	,1	
60q37jer4tcdw	,03	,00030000	,703170653150	,0000	,0	,01	,1	,791366	,1001072441	,0	,50136534	,00030000	,4	,030000000	,0	,34.00	,01	,072441	,00030000	,0	,000300007913661001072441000030000	,20221001	,00030000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,120	,7567	,01	,01	,3l2ohdmxw7u4z	,1	,1	
gjpnrz5o1qe3f	,03	,00030001	,587576070935	,0000	,0	,01	,1	,594705	,1001072518	,0	,72799368	,00030001	,4	,030000000	,0	,453.00	,01	,072518	,00030001	,0	,000300015947051001072518000030001	,20221001	,00030001	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,042	,2053	,01	,01	,awiqj5rbg09zy	,1	,1	
kt5ye2zr0w6ic	,03	,00030000	,082586188391	,0000	,0	,01	,1	,604589	,1001074406	,0	,87824335	,00030000	,4	,030000000	,0	,94.00	,01	,074406	,00030000	,0	,000300006045891001074406000030000	,20221001	,00030000	,000000000000000	,01	,00	,07	,00000000	,0000	,00000000	,XXXX_transfer	,152	,0182	,01	,01	,jaulyrf21denw	,1	,1	
fqrh73v0j1yoa	,03	,00030003	,572311732473	,0000	,0	,01	,1	,137183	,1001075626	,0	,60680568	,00030003	,4	,030000000	,0	,591.00	,01	,075626	,00030003	,0	,000300031371831001075626000030003	,20221001	,00030003	,000000000000000	,01	,00	,03	,00000000	,0000	,00000000	,XXXX_transfer	,140	,9606	,01	,00	,lui6w1xnomre2	,1	,1	
2i1qp4y59joa6	,03	,00030003	,406740616966	,0000	,0	,01	,1	,715980	,1001080237	,0	,43011291	,00030003	,4	,030000000	,0	,31.00	,01	,080237	,00030003	,0	,000300037159801001080237000030003	,20221001	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,102	,5480	,01	,01	,71cz0hu3b45ax	,1	,1	
lxk5whpf07tqn	,03	,00030003	,744631577906	,0000	,0	,01	,1	,480338	,1001080336	,0	,39031593	,00030003	,4	,030000000	,0	,139.00	,01	,080336	,00030003	,0	,000300034803381001080336000030003	,20221001	,00030003	,000000000000000	,01	,00	,01	,00000000	,0000	,00000000	,XXXX_transfer	,130	,4745	,01	,00	,dpabhzynej2ov	,1	,1	
