
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
00098198120706109852538	,c14zl5r0vubmt	,00020003	,00020003	,830836113191	,603192	,00	,01	,01	,2868.00	,2868.00	,20221220	,161340	,20221220	,050	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0003	,000	,82	,06	,20221220	,1220161340	,02	,0	,00000000	,59171118	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2868.00	,001	,2868.00	,428.33	,08335833	,383665444555	,0576652212	,5577929849839977	,0	,2868.00	,001	
00053001728150582761911	,c14zl5r0vubmt	,00020003	,00020003	,320534381817	,000335	,00	,01	,01	,1300.00	,1300.00	,20230109	,203028	,20230109	,012	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0003	,000	,82	,06	,20230109	,0109203028	,02	,0	,00000000	,68869546	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,1300.00	,001	,1300.00	,194.15	,98500994	,720309784318	,2480289339	,4098388572627169	,0	,1300.00	,001	
00052691301694934407725	,c14zl5r0vubmt	,00020003	,00020003	,407587634798	,537881	,00	,01	,01	,1900.00	,1900.00	,20230129	,053933	,20230129	,061	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0003	,000	,82	,06	,20230129	,0129053933	,02	,0	,00000000	,98364296	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,1900.00	,001	,1900.00	,283.76	,07214276	,465484543131	,4596586221	,3598923061907190	,0	,1900.00	,001	
00069709408947003559160	,zwk89xmg0fpat	,00030002	,00030002	,002240004065	,545458	,00	,01	,01	,2000.00	,2000.00	,20221001	,190156	,20221001	,041	,05545778	,034221704356571	,"zfgSnack_bars,Vendors(Low)	",5814	,0000	,0002	,000	,82	,06	,20221001	,1001190156	,02	,0	,00000000	,47812138	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2000.00	,001	,2000.00	,298.69	,44277945	,497952724592	,4681608695	,9565250753103333	,0	,2000.00	,001	
00070920384552659104106	,zwk89xmg0fpat	,00030002	,00030002	,000682030178	,921094	,00	,01	,01	,1277.00	,1277.00	,20221001	,192116	,20221001	,131	,05545778	,034221704356571	,"zfgSnack_bars,Vendors(Low)	",5814	,0000	,0002	,000	,82	,06	,20221001	,1001192116	,02	,0	,00000000	,22009831	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,1277.00	,001	,1277.00	,190.72	,86748204	,178356869621	,6177102805	,0289128449798734	,0	,1277.00	,001	
00031050201757389649986	,zwk89xmg0fpat	,00030002	,00030002	,289720726083	,542591	,00	,01	,01	,3700.00	,3700.00	,20221021	,225156	,20221021	,011	,05545778	,034221704356571	,"zfgSnack_bars,Vendors(Low)	",5814	,0000	,0002	,000	,82	,06	,20221021	,1021225156	,02	,0	,00000000	,52296178	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,3700.00	,001	,3700.00	,552.59	,75567828	,345295485611	,0450913177	,3983233475781575	,0	,3700.00	,001	
00087432878181338230140	,zwk89xmg0fpat	,00030002	,00030002	,846078359421	,565192	,00	,01	,01	,3500.00	,3500.00	,20221110	,010931	,20221110	,001	,05545778	,034221704356571	,"zfgSnack_bars,Vendors(Low)	",5814	,0000	,0002	,000	,82	,06	,20221110	,1110010931	,02	,0	,00000000	,00316620	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,3500.00	,001	,3500.00	,522.72	,11782106	,810517201101	,2306981440	,6862364956497912	,0	,3500.00	,001	
00054797711059348119536	,bel1vycirowpn	,00030001	,00030001	,902498435968	,545599	,00	,01	,01	,1500.00	,1500.00	,20221001	,123640	,20221001	,041	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0001	,000	,82	,06	,20221001	,1001123640	,02	,0	,00000000	,60693796	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,1500.00	,001	,1500.00	,224.02	,57572375	,221217848885	,3479471237	,8154593202810095	,0	,1500.00	,001	
00035570736468511174505	,bel1vycirowpn	,00030001	,00030001	,449540578689	,623694	,00	,01	,01	,5839.00	,5839.00	,20221001	,135749	,20221001	,052	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0001	,000	,82	,06	,20221001	,1001135749	,02	,0	,00000000	,24258146	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,5839.00	,001	,5839.00	,872.04	,37081605	,945375832866	,0770073599	,3662499295687854	,0	,5839.00	,001	
00072715205040231310495	,bel1vycirowpn	,00030001	,00030001	,165429598410	,458223	,00	,01	,01	,3000.00	,3000.00	,20221001	,145238	,20221001	,112	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0001	,000	,82	,06	,20221001	,1001145238	,02	,0	,00000000	,64032885	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,3000.00	,001	,3000.00	,448.04	,78031259	,536202090166	,5519005670	,2921409520890325	,0	,3000.00	,001	
00097778173120087380488	,bel1vycirowpn	,00030001	,00030001	,433866646411	,363418	,00	,01	,01	,3000.00	,3000.00	,20221001	,141739	,20221001	,041	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0001	,000	,82	,06	,20221001	,1001141739	,02	,0	,00000000	,09229720	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,3000.00	,001	,3000.00	,448.04	,11408069	,285263852461	,7134188351	,0632820331888897	,0	,3000.00	,001	
00077737994279790095281	,bel1vycirowpn	,00030001	,00030001	,312363639204	,368013	,00	,01	,01	,2108.00	,2108.00	,20221021	,141444	,20221021	,102	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0001	,000	,82	,06	,20221021	,1021141444	,02	,0	,00000000	,93229111	,2025-07-30 15:54:36	,2025-07-30 15:54:36	,0	,001	,2108.00	,001	,2108.00	,314.82	,87581130	,505419145323	,8159634524	,4346585157293597	,0	,2108.00	,001	
00038873567911653355730	,bel1vycirowpn	,00030001	,00030001	,169638587337	,808796	,00	,01	,01	,6648.00	,6648.00	,20221110	,203157	,20221110	,100	,31360497	,846402661928120	,eliCommunity_health_service_center(Low)	,8099	,0000	,0001	,000	,82	,06	,20221110	,1110203157	,02	,0	,00000000	,43342945	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,6648.00	,001	,6648.00	,992.86	,29161391	,818733859812	,0232312458	,7795464943707010	,0	,6648.00	,001	
00046236165478921977090	,bel1vycirowpn	,00030001	,00030001	,161502978039	,634866	,00	,01	,01	,500.00	,500.00	,20221130	,145308	,20221130	,071	,84715794	,716539165168778	,"qtyMovies,TV_shows,Music(Low)	",7829	,0000	,0001	,000	,82	,06	,20221130	,1130145308	,02	,0	,00000000	,54840523	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,500.00	,001	,500.00	,74.67	,27339889	,088476285435	,6378200925	,1755601069480757	,0	,500.00	,001	
00067546759593661598177	,un38tebomh9zx	,00030003	,00030003	,393880107952	,019170	,00	,01	,01	,1700.00	,1700.00	,20221001	,163849	,20221001	,152	,31867307	,073046436190733	,dnxRestaurant(Low)	,5812	,0000	,0003	,000	,82	,06	,20221001	,1001163849	,02	,0	,00000000	,78182375	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,1700.00	,001	,1700.00	,253.89	,87212038	,742866011975	,7666540021	,0020503320180112	,0	,1700.00	,001	
00083436224192052428815	,un38tebomh9zx	,00030003	,00030003	,292994032949	,828508	,00	,01	,01	,1100.00	,1100.00	,20221001	,164455	,20221001	,120	,31867307	,073046436190733	,dnxRestaurant(Low)	,5812	,0000	,0003	,000	,82	,06	,20221001	,1001164455	,02	,0	,00000000	,76560269	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,1100.00	,001	,1100.00	,164.28	,36576284	,193377501484	,7491878004	,8762794546720432	,0	,1100.00	,001	
00067430130978640150869	,un38tebomh9zx	,00030003	,00030003	,580067999051	,125096	,00	,01	,01	,3500.00	,3500.00	,20221021	,031929	,20221021	,020	,31867307	,073046436190733	,dnxRestaurant(Low)	,5812	,0000	,0003	,000	,82	,06	,20221021	,1021031929	,02	,0	,00000000	,39558417	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,3500.00	,001	,3500.00	,522.72	,49120544	,881030230799	,6512969309	,3274916935324859	,0	,3500.00	,001	
00008522389590745826188	,un38tebomh9zx	,00030003	,00030003	,697572926018	,682981	,00	,01	,01	,4395.00	,4395.00	,20221110	,210948	,20221110	,130	,31867307	,073046436190733	,dnxRestaurant(Low)	,5812	,0000	,0003	,000	,82	,06	,20221110	,1110210948	,02	,0	,00000000	,19254418	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,4395.00	,001	,4395.00	,656.38	,66071101	,241280627876	,4056806519	,0564122001458705	,0	,4395.00	,001	
00073806457707453045232	,od0gacwe9j7hb	,00010000	,00010000	,356043460153	,840157	,00	,01	,01	,1948.00	,1948.00	,20221001	,224441	,20221001	,120	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0000	,000	,82	,06	,20221001	,1001224441	,02	,0	,00000000	,23568259	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,1948.00	,001	,1948.00	,290.93	,01516860	,870525021091	,1943278439	,7232367327716317	,0	,1948.00	,001	
00051735801921753449486	,od0gacwe9j7hb	,00010000	,00010000	,916032042516	,480244	,00	,01	,01	,2855.00	,2855.00	,20221001	,221619	,20221001	,152	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0000	,000	,82	,06	,20221001	,1001221619	,02	,0	,00000000	,80995890	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,2855.00	,001	,2855.00	,426.39	,62972621	,046140609031	,6129264367	,2181864012365771	,0	,2855.00	,001	
00003293363684375648807	,od0gacwe9j7hb	,00010000	,00010000	,728605478507	,337808	,00	,01	,01	,5500.00	,5500.00	,20221001	,222023	,20221001	,122	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0000	,000	,82	,06	,20221001	,1001222023	,02	,0	,00000000	,93219624	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,5500.00	,001	,5500.00	,821.41	,94963775	,884851220386	,3688884302	,0003992436780963	,0	,5500.00	,001	
00049720105448582310826	,od0gacwe9j7hb	,00010000	,00010000	,149649145692	,476766	,00	,01	,01	,4589.00	,4589.00	,20221001	,220308	,20221001	,032	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0000	,000	,82	,06	,20221001	,1001220308	,02	,0	,00000000	,10442177	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,4589.00	,001	,4589.00	,685.35	,77606846	,919011813378	,4822465292	,6247071580487228	,0	,4589.00	,001	
00092389475756232214277	,od0gacwe9j7hb	,00010000	,00010000	,493773446537	,934524	,00	,01	,01	,3908.00	,3908.00	,20221001	,222932	,20221001	,120	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0000	,000	,82	,06	,20221001	,1001222932	,02	,0	,00000000	,94392447	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,3908.00	,001	,3908.00	,583.65	,20406429	,053969681132	,0999739616	,6026110234139503	,0	,3908.00	,001	
00060782111991143204958	,od0gacwe9j7hb	,00010000	,00010000	,626461903636	,038765	,00	,01	,01	,4600.00	,4600.00	,20221021	,035548	,20221021	,142	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0000	,000	,82	,06	,20221021	,1021035548	,02	,0	,00000000	,84537311	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,4600.00	,001	,4600.00	,687.00	,04445712	,699578137590	,9812300749	,7001098061853579	,0	,4600.00	,001	
00038010543666768142058	,od0gacwe9j7hb	,00010000	,00010000	,192771764545	,223195	,00	,01	,01	,3800.00	,3800.00	,20221110	,195759	,20221110	,111	,62772683	,605329632615020	,hjnBulk_goods	,5651	,0000	,0000	,000	,82	,06	,20221110	,1110195759	,02	,0	,00000000	,90949478	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,3800.00	,001	,3800.00	,567.52	,45992766	,017472821459	,2892064478	,0128430002068050	,0	,3800.00	,001	
00063906055603328019423	,pw5s68hoxmukq	,00010000	,00010000	,324253575252	,111517	,00	,01	,01	,2809.00	,2809.00	,20221001	,211659	,20221001	,042	,57248455	,181372990306867	,zusFour_star(Low)	,7011	,0000	,0000	,000	,82	,06	,20221001	,1001211659	,02	,0	,00000000	,59944857	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,2809.00	,001	,2809.00	,419.52	,83589332	,594598089542	,8851496058	,8193126774037859	,0	,2809.00	,001	
00015996763813192245953	,pw5s68hoxmukq	,00010000	,00010000	,610629354981	,433467	,00	,01	,01	,3800.00	,3800.00	,20221001	,223337	,20221001	,121	,57248455	,181372990306867	,zusFour_star(Low)	,7011	,0000	,0000	,000	,82	,06	,20221001	,1001223337	,02	,0	,00000000	,07216228	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,3800.00	,001	,3800.00	,567.52	,74950331	,760087893945	,5439773712	,4668004905698860	,0	,3800.00	,001	
00035163071510535682685	,pw5s68hoxmukq	,00010000	,00010000	,294890127949	,052858	,00	,01	,01	,345.00	,345.00	,20221021	,234645	,20221021	,110	,57248455	,181372990306867	,zusFour_star(Low)	,7011	,0000	,0000	,000	,82	,06	,20221021	,1021234645	,02	,0	,00000000	,17719169	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,345.00	,001	,345.00	,51.52	,75566202	,624842987319	,9723740908	,1503808049364255	,0	,345.00	,001	
00021258908343659021932	,pw5s68hoxmukq	,00010000	,00010000	,827895043877	,264096	,00	,01	,01	,3200.00	,3200.00	,20221110	,105908	,20221110	,101	,57248455	,181372990306867	,zusFour_star(Low)	,7011	,0000	,0000	,000	,82	,06	,20221110	,1110105908	,02	,0	,00000000	,24574820	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,3200.00	,001	,3200.00	,477.91	,59820166	,820056059228	,7166208862	,5909857086629610	,0	,3200.00	,001	
00094833362245448574487	,pw5s68hoxmukq	,00010000	,00010000	,071623240975	,817594	,00	,01	,01	,5487.00	,5487.00	,20221130	,130146	,20221130	,150	,57248455	,181372990306867	,zusFour_star(Low)	,7011	,0000	,0000	,000	,82	,06	,20221130	,1130130146	,02	,0	,00000000	,12978328	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,5487.00	,001	,5487.00	,819.47	,95689866	,706985346006	,6988619159	,1645536506058553	,0	,5487.00	,001	
00040689739576062397434	,0aebpcnzg34il	,00020000	,00020000	,075904347855	,114359	,00	,01	,01	,2437.00	,2437.00	,20221001	,132315	,20221001	,122	,31867307	,073046436190733	,dnxRestaurant(Low)	,5812	,0000	,0000	,000	,82	,06	,20221001	,1001132315	,02	,0	,00000000	,83284248	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,2437.00	,001	,2437.00	,363.96	,84419209	,218779543769	,6939005654	,1242905203475170	,0	,2437.00	,001	
00036610952663216535335	,0aebpcnzg34il	,00020000	,00020000	,525853977643	,553949	,00	,01	,01	,3800.00	,3800.00	,20221001	,132413	,20221001	,122	,31867307	,073046436190733	,dnxRestaurant(Low)	,5812	,0000	,0000	,000	,82	,06	,20221001	,1001132413	,02	,0	,00000000	,91106152	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,3800.00	,001	,3800.00	,567.52	,18775349	,788991345908	,4685618438	,4003820468712534	,0	,3800.00	,001	
00044545812546772508020	,0aebpcnzg34il	,00020000	,00020000	,542072040192	,519927	,00	,01	,01	,6300.00	,6300.00	,20221001	,130212	,20221001	,041	,31867307	,073046436190733	,dnxRestaurant(Low)	,5812	,0000	,0000	,000	,82	,06	,20221001	,1001130212	,02	,0	,00000000	,39247839	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,6300.00	,001	,6300.00	,940.89	,67178092	,597683834593	,0146952172	,1304899399412687	,0	,6300.00	,001	
00086986466857155228151	,0aebpcnzg34il	,00020000	,00020000	,482325903070	,434420	,00	,01	,01	,1868.00	,1868.00	,20221021	,104717	,20221021	,061	,31867307	,073046436190733	,dnxRestaurant(Low)	,5812	,0000	,0000	,000	,82	,06	,20221021	,1021104717	,02	,0	,00000000	,50956461	,2025-07-30 15:54:37	,2025-07-30 15:54:37	,0	,001	,1868.00	,001	,1868.00	,278.98	,62379457	,648674285610	,5767570848	,1067691792241250	,0	,1868.00	,001	
